Game ID,Genres,Developers,Publishers,Release date,Current price in €,Number of reviews,Positive rate in reviews in %,SteamDB score in %,Minimum requirements,Min configuration class
566690,"['Adventure', 'Indie', 'RPG', 'Early Access']",['Sortasoft LLC'],['Sortasoft LLC'],2017-12-04,14.99,4,75.0,59.6,"{'Processor': ' intel core i5 or equivalent', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA® GeForce® GTX 550 or ATI™ Radeon™ HD 6XXX or higher'}",2
566700,"['Casual', 'Indie', 'Strategy']",['VinLia Games'],['VinLia Games'],2017-12-05,6.49,68,99.0,85.04,"{'Processor': ' intel core i5 2500k', 'Memory': ' 8 GB RAM', 'Graphics': ' GTX 970 or AMD RX 480'}",3
566730,"['Casual', 'Indie']",['One Show'],['VRSHOW'],2017-01-05,3.99,3,33.0,44.31,"{'Processor': ' i5', 'Memory': ' 4 GB RAM', 'Graphics': ' gtx 970'}",2
566750,"['Action', 'Adventure', 'Indie']","['AT The Gate Team', 'AT The Gate Team']",['AT The Gate Team'],2017-01-30,2.99,22,82.0,69.44,"{'Processor': ' 1.8 ghz dual core', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce GTS 210 (or equivalent)'}",1
566780,"['Action', 'Casual', 'Indie', 'Sports']",['Arrowiz'],['Arrowiz'],2017-01-09,3.74,63,78.0,69.83,"{'Processor': ' intel core i5-4590 / amd fx-8350', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce GTX 970 / AMD Radeon R9 290'}",2
566860,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['Blackjard Softworks'],['Wolfdog Interactive'],2017-04-24,7.99,997,85.0,80.96,"{'Processor': ' intel core i5', 'Memory': ' 8 GB RAM', 'Graphics': ' AMD Radeon R9 390 or NVIDIA Geforce GTX 980'}",3
566870,"['Action', 'Indie', 'Simulation', 'Early Access']",['FIGHT4DREAM LIMITED'],['FIGHT4DREAM LIMITED'],2016-12-22,9.74,21,76.0,65.86,"{'Processor': ' intel i5-4590 equivalent or greater', 'Memory': ' 8 GB RAM', 'Graphics': ' NVIDIA GTX 970 / AMD equivalent or greater'}",3
566880,"['Casual', 'Indie']",['Pocket Money Games'],['Pocket Money Games '],2017-01-16,0.79,32,91.0,76.45,"{'Processor': ' intel i5-4590 equivalent or better', 'Memory': ' 2 GB RAM', 'Graphics': ' Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better'}",2
566910,"['Action', 'Free to Play', 'Indie']",['Zoink Games'],['Zoink Games'],2016-12-22,0.0,51,71.0,64.32,"{'Processor': ' dual-core 2.1 ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' Nvidia GeForce GT 520 or better'}",0
566930,['Casual'],"['Nova Ideals', 'Alawar Entertainment']",['Buka Entertainment'],2016-12-13,0.59,12,92.0,72.42,"{'Processor': ' 1 ghz processor', 'Memory': ' 512 MB RAM', 'Graphics': ' 128 MB VRAM'}",0
566940,['Casual'],"['Adept Studios GD', 'Alawar Entertainment']",['Buka Entertainment'],2016-12-13,0.69,14,86.0,69.91,"{'Processor': ' 1,5 ghz processor', 'Memory': ' 1024 MB RAM', 'Graphics': ' 256 MB VRAM'}",0
566970,"['Adventure', 'Indie']","['Five Mind Creations', 'Sourcenity']",['Five Mind Creations'],2017-11-13,7.19,38,76.0,67.58,"{'Processor': ' intel core i5-4590', 'Memory': ' 8 GB RAM', 'Graphics': ' Geforce GTX 970 or AMD Radeon R9 29'}",3
567010,['Adventure'],['btf GmbH'],['Headup Games'],2016-12-22,0.99,97,81.0,73.53,"{'Processor': ' duo core @ 1.8ghz+ (approx)', 'Memory': ' 2 GB RAM', 'Graphics': ' Non-Dedicated (shared) video card with at least 512MB Shared VRAM, openGL 2.0 support'}",0
567020,"['Casual', 'Indie']",['Egor Magurin'],['Indovers Studio'],2016-12-09,0.39,27,30.0,37.1,"{'Processor': ' intel® pentium® iii or higher', 'Memory': ' 512 MB RAM', 'Graphics': ' 256 MB or higher'}",0
567030,"['Casual', 'Indie']",['Circus Atos'],['Circus Atos'],2017-04-27,4.99,374,97.0,88.93,"{'Processor': ' 2.3 ghz dual core', 'Memory': ' 1 GB RAM', 'Graphics': ' Intel HD 4000'}",1
567040,"['Casual', 'Indie', 'Sports']",['Oryzhon Studios'],['Oryzhon Studios'],2016-12-22,0.0,49,37.0,40.82,"{'Processor': ' intel pentium d or amd athlon 64 (k8) 2.6 ghz', 'Memory': ' 1 GB RAM', 'Graphics': ' Intel HD Graphics or AMD/ATI Radeon HD Graphics'}",0
567060,"['Violent', 'Gore', 'Action', 'Indie']",['Kazakov Oleg'],['Kazakov Oleg'],2017-05-29,0.49,299,77.0,72.36,"{'Processor': ' dual core processor', 'Memory': ' 2 GB RAM', 'Graphics': ' 512MB Video Card with OpenGL support'}",1
566130,['Education'],['Edulus software'],['Edulus software'],2017-04-01,0.0,10,50.0,50.0,"{'Processor': ' intel i5-4590, amd fx 8350 equivalent or better', 'Memory': ' 4 GB RAM', 'Graphics': ' Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better'}",2
566150,"['Casual', 'Indie', 'Sports']",['WhirlVFX'],['WhirlVFX'],2016-12-08,0.0,18,56.0,53.27,"{'Processor': ' intel™ core™ i5-4590 or amd fx™ 8350, equivalent or better', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce™ GTX 1060 or AMD Radeon™ RX 480, equivalent or better'}",2
566160,"['Casual', 'Indie']",['Quiet River'],['Quiet River'],2017-09-19,0.69,1796,94.0,89.78,"{'Processor': ' intel celeron 1800 mhz', 'Memory': ' 256 MB RAM', 'Graphics': ' Intel HD Graphics'}",0
566180,"['Action', 'Adventure', 'Indie', 'Early Access']",['Phosphene Designs LLC'],['Phosphene Designs LLC'],2017-01-12,6.99,7,43.0,46.68,"{'Processor': ' intel i5-4590 or amd fx 8350 equivalent or greater', 'Memory': ' 8 GB RAM', 'Graphics': ' Nvidia GeForce GTX970 or AMD Radeon R9 290 equivalent or greater'}",3
566190,"['Adventure', 'Indie']",['Jason Godbey'],['Jason Godbey'],2017-04-13,1.04,801,75.0,71.29,"{'Processor': ' intel core i3-370m @ 2.40ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' Intel HD Graphics'}",1
566200,"['Adventure', 'Indie', 'RPG', 'Strategy']",['Adam Hebert'],['Adam Hebert'],2017-01-10,3.99,5,80.0,62.51,"{'Processor': ' 2.0 ghz dual core (more cores and/or ghz recommended for higher settings)', 'Memory': ' 2 GB RAM', 'Graphics': 'Not specified'}",0
566250,['Action'],['John C. Ragland'],['John C. Ragland'],2017-12-05,0.65,2,50.0,50.0,"{'Processor': ' 2 ghz +', 'Memory': ' 4 GB RAM', 'Graphics': ' Any Windows compatible'}",0
566270,"['Action', 'Adventure']",['Hangzhou NezhaGames'],['Hangzhou NezhaGames'],2017-01-24,9.99,44,82.0,71.7,"{'Processor': ' cpu i5', 'Memory': ' 4096 MB RAM', 'Graphics': ' NVIDIA GTX 970+'}",1
566320,"['Adventure', 'Casual', 'Indie']",['Octo Studio'],['Octo Studio'],2017-03-03,0.79,13,85.0,68.97,"{'Processor': 'Not specified', 'Memory': ' 4 MB RAM', 'Graphics': ' Nvidia Geforce gt635m or equivalent'}",0
566350,"['Casual', 'Indie', 'Strategy']",['UV Games Ltd'],['UV Games Ltd'],2017-03-14,4.99,12,75.0,63.45,"{'Processor': ' quad core processor', 'Memory': ' 8000 MB RAM', 'Graphics': ' GeForce GTX 970 or AMD Radeon R9 290 or better'}",0
566380,"['Indie', 'Sports']",['Reality Reflection'],['Reality Reflection'],2017-10-25,9.99,39,79.0,69.77,"{'Processor': ' intel(r) core(tm) i5-6200u cpu @ 2.30ghz', 'Memory': ' 2048 MB RAM', 'Graphics': ' GeForce GTX 960(VR) / GeForce GTX 550(Non-VR)'}",1
566410,"['Adventure', 'Casual', 'Indie']",['Bruno MARTIOL'],['Bruno MARTIOL'],2017-09-24,0.0,28,36.0,40.9,"{'Processor': ' intel i3 1.7 ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' Intel HD Graphics 4400'}",1
566420,"['Adventure', 'Strategy']",['Viistopro'],['Viistopro'],2017-10-19,6.99,9,67.0,58.33,"{'Processor': ' intel core 2 duo / amd equivalent', 'Memory': ' 4 GB RAM', 'Graphics': ' Nvidia 9800 GT or Intel / AMD equivalent'}",0
566430,"['Indie', 'RPG', 'Strategy', 'Early Access']",['Lions Crayons Games'],['Lions Crayons Games'],2017-11-08,9.99,29,62.0,57.73,"{'Processor': 'Not specified', 'Memory': ' 512 MB RAM', 'Graphics': 'Not specified'}",0
566490,"['Indie', 'Strategy']",['Cat Nigiri'],"['Phoenixx Inc.', '2P Games']",2020-06-25,3.98,94,97.0,84.92,"{'Processor': ' dual core or equivalent', 'Memory': ' 2 GB RAM', 'Graphics': ' Intel HD graphics 4000'}",1
566530,"['Action', 'Casual', 'Indie']","['Polymerse', 'Altaire']","['Polymerse', 'Altaire']",2017-05-04,5.99,244,79.0,73.21,"{'Processor': ' intel i5-4790 equivalent or greater.', 'Memory': ' 8 GB RAM', 'Graphics': ' Nvidia GeForce GTX970 equivalent or greater.'}",3
566540,"['RPG', 'Strategy']","['Nippon Ichi Software, Inc.']","['NIS America, Inc.']",2018-09-18,17.99,532,80.0,74.88,"{'Processor': ' intel core i3-6100 3.7ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' Intel HD 520'}",1
566550,"['Indie', 'Simulation']",['WeersProductions'],['WeersProductions'],2016-12-15,2.99,68,43.0,45.29,"{'Processor': 'Not specified', 'Memory': ' 1000 MB RAM', 'Graphics': 'Not specified'}",0
566560,"['Action', 'Adventure', 'Indie']",['FLYNET STUDIOS'],['FLYNET STUDIOS'],2016-12-27,2.39,17,24.0,34.62,"{'Processor': ' 1 ghz', 'Memory': ' 1 GB RAM', 'Graphics': ' 512 MB'}",0
566570,"['Indie', 'Simulation', 'Sports', 'Early Access']",['Hyper Light Studios'],['Hyper Light Studios'],2017-03-17,9.99,30,50.0,48.96,"{'Processor': ' any i5', 'Memory': ' 8 GB RAM', 'Graphics': ' NVidia Geforce GTX 970'}",3
566580,['Casual'],['MobileFusion Apps Ltd'],['MobileFusion Apps Ltd'],2016-12-08,4.99,5,60.0,54.17,"{'Processor': ' intel® i5-4590, amd fx 8350 equivalent or better', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce® GTX 970, AMD Radeon™ R9 290 equivalent or better, Video Output: HDMI 1.4, DisplayPort 1.2 or newer'}",2
565860,"['Action', 'Adventure', 'Indie', 'Racing']",['Vladislav Castillo Gonzalez'],['Vladislav Castillo Gonzalez'],2016-12-07,0.59,395,76.0,71.77,"{'Processor': ' dual core cpu (2.2+ ghz dual core cpu or better)', 'Memory': ' 2 GB RAM', 'Graphics': ' DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)'}",1
565910,"['Indie', 'Simulation', 'Early Access']",['Bit Toys'],['Bit Toys'],2017-06-28,19.99,10,70.0,60.28,"{'Processor': ' intel i5-4590, amd fx 8350 equivalent or better', 'Memory': ' 8 GB RAM', 'Graphics': ' NVIDIA GeForce GTX 970, AMD Radeon R9 290 equivalent or better, Video Output: HDMI 1.4, DisplayPort 1.2 or newer'}",3
565980,"['Adventure', 'Indie', 'RPG']",['Hosted Games'],['Hosted Games'],2017-01-20,3.29,28,75.0,65.93,"{'Processor': 'Not specified', 'Memory': 'Not specified', 'Graphics': 'Not specified'}",0
566050,['Strategy'],['Impressions Games'],['Activision'],2016-12-15,4.99,745,95.0,88.77,"{'Processor': ' 1.8 ghz', 'Memory': ' 512 MB RAM', 'Graphics': ' DirectX 7 Compatible 3D Card'}",0
566090,['RPG'],['inXile Entertainment'],['inXile Entertainment'],2018-09-18,0.0,1453,67.0,65.07,"{'Processor': ' intel core i5-2500k (4 * 3300) or equivalent', 'Memory': ' 8 GB RAM', 'Graphics': ' NVIDIA GeForce GTX 760  (2048 MB) or Radeon HD 7970 (3072 MB)'}",3
565380,"['Action', 'Adventure']",['Panoramik Inc'],['Panoramik Inc'],2016-12-08,5.99,40,72.0,65.14,"{'Processor': ' intel core i5-4590 or amd fx 8350, equivalent or better', 'Memory': ' 4 GB RAM', 'Graphics': ' NVIDIA GeForce GTX 1060 or AMD Radeon RX 480, equivalent or better.'}",2
565390,"['Indie', 'Racing', 'Sports']",['Concrete Games'],['Concrete Games'],2017-09-08,3.99,81,93.0,81.29,"{'Processor': ' intel core i3-4160 @ 3.60ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' Intel HD 4000 or equivalent'}",1
565540,"['Action', 'Indie']",['Dinan Studios'],['Dinan Studios'],2016-12-19,8.99,11,64.0,58.97,"{'Processor': ' core i5-3210m 2.5ghz', 'Memory': ' 4 GB RAM', 'Graphics': ' Radeon HD 7730M'}",2
565550,"['Violent', 'Gore', 'Action', 'Adventure', 'Casual', 'RPG']",['Xatrix Entertainment'],['Interplay'],2017-01-04,3.39,93,72.0,66.43,"{'Processor': ' 1 ghz processor (1.4 ghz recommended)', 'Memory': ' 512 MB RAM', 'Graphics': ' 3D graphics card compatible with DirectX 7 (compatible with DirectX 9 recommended)'}",0
565600,"['Adventure', 'Casual']",['Elephant Games'],['Big Fish Games'],2016-12-16,3.49,29,90.0,75.77,"{'Processor': ' 2.5 ghz', 'Memory': ' 1024 MB RAM', 'Graphics': 'Not specified'}",0
565640,"['Casual', 'Indie']",['Oneironaut Academy LLC'],['Oneironaut Academy LLC'],2017-07-17,0.0,17,41.0,44.87,"{'Processor': ' 2 ghz and greater', 'Memory': ' 1 GB RAM', 'Graphics': ' Dedicated Graphics Card'}",0
